År;Vannkraftproduksjon;Vindkraftproduksjon;Solkraftproduksjon;Varmekraftproduksjon;Import;Eksport;Forbruk i kraftstasjonene (-2019);Pumpekraftforbruk;Tap og statistisk differanse;Nettoforbruk
1950;16924;0;0;0;0;0;0;0;0;14749
1955;22600;0;0;0;0;0;0;0;0;19715
1960;30915;0;0;206;210;78;0;11;0;27509
1961;33386;0;0;208;140;231;0;8;0;29989
1962;37625;0;0;119;34;325;0;9;0;33789
1963;39263;0;0;196;54;898;0;48;0;34953
1964;43778;0;0;164;116;1421;0;39;0;38487
1965;48858;0;0;92;117;2176;0;39;0;41962
1966;48188;0;0;160;631;907;0;38;0;42984
1967;52773;0;0;93;344;1859;0;46;0;45803
1968;59609;0;0;92;179;3174;0;36;0;50853
1969;56803;0;0;219;221;1569;0;36;0;50267
1970;57261;0;0;345;808;1644;0;43;0;51459
1971;63281;0;0;282;458;3373;0;50;0;54882
1972;67440;0;0;175;120;4767;0;33;0;56901
1973;72893;0;0;143;66;5259;495;37;6299;61013
1974;76644;0;0;56;63;5607;549;67;6247;64292
1975;77415;0;0;71;83;5703;560;122;6491;64693
1976;82037;0;0;96;240;6877;581;148;7400;67367
1977;72203;0;0;229;2653;1570;668;258;6740;65849
1978;80864;0;0;133;845;4250;766;225;7316;69285
1979;88977;0;0;146;842;5493;864;398;7656;75554
1980;83962;0;0;137;2039;2501;903;498;7129;75105
1981;93270;0;0;127;1925;7154;967;623;8505;78072
1982;92888;0;0;268;642;6704;1001;556;7441;78096
1983;106048;0;0;321;431;13847;995;516;8331;83111
1984;106339;0;0;327;860;9130;1019;623;7565;89191
1985;102946;0;0;346;4083;4627;942;804;9071;91931
1986;96819;0;0;465;4212;2180;910;883;6997;90526
1987;103753;0;0;530;2983;3320;958;686;8521;93781
1988;109544;0;0;475;1727;7355;964;982;7659;94787
1989;118698;0;0;499;314;15166;1066;426;7658;95194
1990;121382;0;0;466;334;16241;1019;339;6874;97709
1991;110580;0;0;429;3274;6049;932;637;6703;99964
1992;117062;0;0;441;1380;10109;963;558;6814;100442
1993;119622;7;0;467;587;8486;840;556;8851;101949
1994;112676;9;0;528;4836;4968;753;1476;7927;102926
1995;122487;10;0;514;2300;8962;592;1367;9426;104964
1996;104148;9;0;555;13212;4236;604;408;8529;104147
1997;110938;11;0;471;8692;4874;611;1661;8074;104893
1998;116280;11;0;496;8046;4412;688;824;8460;110448
1999;121882;25;0;538;6857;8776;996;615;8395;110520
2000;142289;31;0;496;1474;20529;682;673;10051;112355
2001;121026;27;0;555;10760;7162;673;805;9967;113761
2002;129837;75;0;561;5329;15002;602;665;9338;110195
2003;106084;218;0;943;13472;5587;488;863;7950;105829
2004;109291;252;0;929;15334;3842;569;728;9335;111332
2005;136452;499;0;860;3653;15695;635;1091;9995;114048
2006;119729;636;0;1035;9802;8947;567;515;10073;111100
2007;134736;892;0;1536;5284;15320;558;1543;10417;114610
2008;139981;913;0;1214;3414;17291;637;1338;9948;116308
2009;126077;977;0;4719;5650;14633;659;1135;8629;112367
2010;117152;879;0;5599;14673;7123;560;574;9490;120556
2011;121553;1283;0;4795;11255;14329;544;1807;7263;114943
2012;142810;1548;0;3358;4190;22006;560;1536;9098;118706
2013;128699;1881;0;3395;10135;15140;620;786;8024;119540
2014;136181;2217;0;3570;6347;21932;692;997;7637;117057
2015;138450;2515;0;3546;7411;22038;693;1612;7530;120049
2016;143417;2116;0;3456;5741;22151;563;872;7697;123447
2017;143112;2854;0;3436;6112;21276;718;1065;7625;124830
2018;139704;3877;0;3476;8340;18489;765;1031;7564;127548
2019;126030;5525;0;3328;12353;12309;825;1054;6996;126051
2020;141590;9911;25;2670;4496;24968;0;952;6967;125806
2021;143699;11768;33;1612;8235;25819;0;576;7653;131300
2022;128749;14810;63;2319;13270;25792;0;1609;7277;124534
2023;137315;13965;165;2528;13240;30978;0;1786;7949;126500
2024;139984;14545;251;2357;14685;33124;0;1558;7806;129334
