verdensdel;land;by;kost;administrativt_satt
Afrika;Øvrige områder;;560;
Afrika;Algerie;;500;
Afrika;Angola;;970;
Afrika;Benin;;690;
Afrika;Botswana;;450;
Afrika;Burundi;;400;
Afrika;Den demokratiske republikk Kongo;;870;
Afrika;Egypt;;340;
Afrika;Elfenbenskysten;;740;
Afrika;Eritrea;;690;
Afrika;Etiopia;;420;
Afrika;Gabon;;940;
Afrika;Ghana;;570;
Afrika;Kamerun;;680;
Afrika;Kenya;;650;
Afrika;Kongo;;720;
Afrika;Lesotho;;380;
Afrika;Madagaskar;;330;
Afrika;Malawi;;400;
Afrika;Marokko;;540;
Afrika;Mauritius;;590;
Afrika;Mosambik;;410;
Afrika;Namibia;;450;
Afrika;Nigeria;;640;
Afrika;Seychellene;;760;
Afrika;Sudan;;250;
Afrika;Swaziland;;380;
Afrika;Sør-Afrika;;450;
Afrika;Sør-Sudan;;540;
Afrika;Tanzania;;490;
Afrika;Togo;;610;
Afrika;Zambia;;460;
Afrika;Zimbabwe;;720;
Amerika;Øvrige områder;;720;
Amerika;Argentina;;580;
Amerika;Bahamas;;1120;
Amerika;Barbados;;1040;
Amerika;Bolivia;;440;
Amerika;Brasil;;560;
Amerika;Brasil;Rio de Janeiro;620;
Amerika;Canada;;820;
Amerika;Chile;;620;
Amerika;Colombia;;550;
Amerika;Costa Rica;;650;
Amerika;Cuba;;550;
Amerika;El Salvador;;590;
Amerika;Guatemala;;680;
Amerika;Guyana;;640;
Amerika;Honduras;;470;
Amerika;Jamaica;;720;
Amerika;Mexico;;440;
Amerika;Nicaragua;;480;
Amerika;Panama;;650;
Amerika;Paraguay;;450;
Amerika;Peru;;670;
Amerika;Puerto Rico;;880;
Amerika;Surinam;;450;
Amerika;Uruguay;;680;
Amerika;USA;;860;
Amerika;USA;New York;1150;
Amerika;USA;San Francisco;950;
Amerika;USA;Washington DC;960;
Amerika;Venezuela;;1600;
Asia;Øvrige områder;;640;
Asia;Afghanistan;;580;
Asia;Armenia;;440;
Asia;Aserbajdsjan;;470;
Asia;Bahrain;;820;
Asia;Bangladesh;;540;
Asia;Brunei;;550;
Asia;Fillippinene;;540;
Asia;Forente arabiske emirater;;1050;
Asia;Georgia;;380;
Asia;India;;500;
Asia;Indonesia;;520;
Asia;Iran;;460;
Asia;Israel;;1080;
Asia;Japan;;730;
Asia;Jemen;;580;
Asia;Jordan;;870;
Asia;Kambodsja;;570;
Asia;Kasakhstan;;430;
Asia;Kina;;810;
Asia;Kina;Hong Kong;890;
Asia;Kina;Shanghai;810;
Asia;Kuwait;;880;
Asia;Laos;;460;
Asia;Libanon;;890;
Asia;Malaysia;;440;
Asia;Maldivene;;500;
Asia;Myanmar (Burma);;500;
Asia;Nord-Korea;;520;
Asia;Oman;;940;
Asia;Pakistan;;360;
Asia;Palestina;;920;
Asia;Qatar;;880;
Asia;Saudi-Arabia;;790;
Asia;Singapore;;830;
Asia;Sri Lanka;;410;
Asia;Sør-Korea;;890;
Asia;Taiwan;;680;
Asia;Thailand;;710;
Asia;Tyrkia;;390;
Asia;Tyrkia;Istanbul;430;
Asia;Uzbekistan;;250;
Asia;Vietnam;;480;
Asia;Øst-Timor;;610;
Australia/Oceania;Øvrige områder;;790;
Australia/Oceania;Australia;;950;
Australia/Oceania;New Zealand;;780;
Australia/Oceania;Papua New Guinea;;650;
Europa;Øvrige områder;;;
Europa;Albania;;360;
Europa;Andorra;;740;Spania
Europa;Belgia;;920;
Europa;Bosnia-Herzegovina;;490;
Europa;Bulgaria;;520;
Europa;Danmark;;1220;
Europa;Danmark;København;1220;
Europa;Færøyene;;1220;Danmark
Europa;Grønland;;1220;Danmark
Europa;Estland;;670;
Europa;Finland;;970;
Europa;Åland;;970;Finland
Europa;Frankrike;;770;
Europa;Frankrike;Paris;940;
Europa;Hellas;;780;
Europa;Hviterussland;;380;
Europa;Irland;;910;
Europa;Island;;1150;
Europa;Italia;;790;
Europa;Vatikanstaten;;790;Italia
Europa;Kosovo;;370;
Europa;Kroatia;;610;
Europa;Kypros;;750;
Europa;Latvia;;690;
Europa;Liechtenstein;;1240;
Europa;Litauen;;530;
Europa;Luxemburg;;960;
Europa;Makedonia;;460;
Europa;Malta;;700;
Europa;Moldova;;370;
Europa;Monaco;;1080;
Europa;Montenegro;;590;
Europa;Nederland;;790;
Europa;Polen;;590;
Europa;Portugal;;630;
Europa;Azorene;;630;Portugal
Europa;Madeira;;630;Portugal
Europa;Romania;;470;
Europa;Russland;;450;
Europa;Russland;Moskva;630;
Europa;Russland;St. Petersburg;530;
Europa;San Marino;;790;Italia
Europa;Serbia;;540;
Europa;Slovakia;;660;
Europa;Slovenia;;690;
Europa;Spania;;740;
Europa;Kanariøyene;;740;Spania
Europa;Storbritannia;;760;
Europa;Storbritannia;London;900;
Europa;Gibraltar;;760;Storbritannia
Europa;Guernsey (inkl. Alderney og Sark);;760;Storbritannia
Europa;Jersey;;760;Storbritannia
Europa;Man;;760;Storbritannia
Europa;Nord-Irland;;760;Storbritannia
Europa;Sveits;;1110;
Europa;Sveits;Geneve;1240;
Europa;Sveits;Zürich;1240;
Europa;Sverige;;800;
Europa;Tsjekkiske republikk;;560;
Europa;Tyskland;;780;
Europa;Tyskland;Berlin;840;
Europa;Ukraina;;440;
Europa;Ungarn;;600;
Europa;Østerrike;;840;
Europa;Østerrike;Wien;810;
